keys,zh_CN,en
card.feng_juan_can_yun_plus.name,"风卷残云+","Gale Sweep+"
card.feng_juan_can_yun_plus.desc,"造成 14 点伤害。若你有加速，额外触发一次。（升级版）","Deal 14 damage. If you have Haste, trigger once more. (Upgraded)"
card.feng_lei_yin_plus.name,"风雷引+","Wind-Thunder Lead+"
card.feng_lei_yin_plus.desc,"获得加速 3。本周天下一张攻击牌额外触发一次。（升级版）","Gain Haste 3. The next Attack this cycle triggers once more. (Upgraded)"
card.feng_xue_plus.name,"封穴+","Seal Point+"
card.feng_xue_plus.desc,"施加迟滞 4 tick。（升级版）","Apply Slow for 4 ticks. (Upgraded)"
card.hui_feng_plus.name,"回风+","Returning Wind+"
card.hui_feng_plus.desc,"本周天结束前，下一张牌 cost 减半。（升级版）","Until this cycle ends, halve the next card's cost. (Upgraded)"
card.hui_qi_plus.name,"回气+","Qi Return+"
card.hui_qi_plus.desc,"消耗所有充能造成 8+充能×2 伤害；若消耗 3 层以上，返还 1 层。（升级版）","Consume all Charge for 8 + Charge×2 damage; if 3+ spent, regain 1 Charge. (Upgraded)"
card.hui_xiang_jian_plus.name,"回响剑+","Echo Blade+"
card.hui_xiang_jian_plus.desc,"复制链条中前一张牌的效果并触发。（升级版）","Copy and trigger the effect of the previous card in chain. (Upgraded)"
card.huo_xing_plus.name,"火·火星+","Fire · Spark+"
card.huo_xing_plus.desc,"造成 3 点伤害，施加 1 层燃烧 3 tick。（升级版）","Deal 3 damage. Apply 1 Burn for 3 ticks. (Upgraded)"
card.huo_yu_plus.name,"火·火狱+","Fire · Flame Prison+"
card.huo_yu_plus.desc,"施加 3 层燃烧 4 tick 和迟滞 2 tick。（升级版）","Apply 3 Burn for 4 ticks and Slow for 2 ticks. (Upgraded)"
card.jian_bu_plus.name,"剑步+","Sword Step+"
card.jian_bu_plus.desc,"获得加速 1。（升级版）","Gain Haste 1. (Upgraded)"
card.jian_dan_plus.name,"剑胆+","Blade Resolve+"
card.jian_dan_plus.desc,"获得 3 层充能。（升级版）","Gain 3 Charge. (Upgraded)"
card.jian_ge_plus.name,"剑格+","Sword Guard+"
card.jian_ge_plus.desc,"获得 10 点护盾。（升级版）","Gain 10 Shield. (Upgraded)"
card.jian_jue_plus.name,"剑诀+","Sword Art+"
card.jian_jue_plus.desc,"造成 2 次 3 点伤害（共 6 点）。（升级版）","Deal 3 damage twice (6 total). (Upgraded)"
card.jian_ming_plus.name,"剑鸣+","Blade Resonance+"
card.jian_ming_plus.desc,"固有：相邻攻击牌 cost -1，最低 1。（升级版）","Innate: adjacent Attack cards cost 1 less, min 1. (Upgraded)"
card.jian_qi_plus.name,"剑气+","Sword Qi+"
card.jian_qi_plus.desc,"造成 12 点伤害。（升级版）","Deal 12 damage. (Upgraded)"
card.jian_qi_mu_plus.name,"剑气幕+","Sword Qi Veil+"
card.jian_qi_mu_plus.desc,"造成 20 点伤害。（升级版）","Deal 20 damage. (Upgraded)"
card.jian_ying_plus.name,"剑影+","Blade Shadow+"
card.jian_ying_plus.desc,"复制前一张普通攻击牌。（升级版）","Copy the previous common Attack card. (Upgraded)"
card.jian_yu_plus.name,"剑域+","Sword Domain+"
card.jian_yu_plus.desc,"造成 3 次 3 点伤害（共 9 点）。（升级版）","Deal 3 damage three times (9 total). (Upgraded)"
card.jian_yu_tong_xin_plus.name,"剑与同心+","Blade Unity+"
card.jian_yu_tong_xin_plus.desc,"复制前两张非回响牌。（升级版）","Copy the previous two non-Echo cards. (Upgraded)"
card.ju_qi_plus.name,"聚气+","Gather Qi+"
card.ju_qi_plus.desc,"获得 1 层充能。（升级版）","Gain 1 Charge. (Upgraded)"
card.kai_tian_zhan_plus.name,"开天斩+","Heaven Splitter+"
card.kai_tian_zhan_plus.desc,"消耗所有充能，造成 24+充能×4 点伤害。（升级版）","Consume all Charge. Deal 24 + Charge×4 damage. (Upgraded)"
card.kong_gu_hui_xiang_plus.name,"空谷回响+","Valley Echo+"
card.kong_gu_hui_xiang_plus.desc,"固有：前后两张牌 cost -1。若此卡复制成功，获得加速 2。（升级版）","Innate: adjacent cards cost 1 less. If this copies successfully, gain Haste 2. (Upgraded)"
card.kong_ming_jian_plus.name,"空明剑+","Clear Void Blade+"
card.kong_ming_jian_plus.desc,"打断目标，附加 8 点伤害。（升级版）","Interrupt target and deal 8 damage. (Upgraded)"
card.kuai_jian_plus.name,"快剑+","Quick Blade+"
card.kuai_jian_plus.desc,"造成 6 点伤害。（升级版）","Deal 6 damage. (Upgraded)"
card.lan_jian_plus.name,"拦剑+","Parry Blade+"
card.lan_jian_plus.desc,"打断目标当前卡，附加 3 点伤害。（升级版）","Interrupt target's current card and deal 3 damage. (Upgraded)"
card.lian_ci_plus.name,"连刺+","Double Thrust+"
card.lian_ci_plus.desc,"造成 2 次 2 点伤害。（升级版）","Deal 2 damage twice. (Upgraded)"
card.lian_huan_jian_plus.name,"连环剑+","Chain Blade+"
card.lian_huan_jian_plus.desc,"造成 4 次 3 点伤害。（升级版）","Deal 3 damage four times. (Upgraded)"
card.lie_kou_plus.name,"裂口+","Open Wound+"
card.lie_kou_plus.desc,"造成 7 点伤害；若目标有迟滞，额外 +3。（升级版）","Deal 7 damage; +3 if target is Slowed. (Upgraded)"
card.lie_shan_pi_plus.name,"裂山劈+","Mountain Rive+"
card.lie_shan_pi_plus.desc,"消耗所有充能，造成 16+充能×2.5 点伤害。（升级版）","Consume all Charge. Deal 16 + Charge×2.5 damage. (Upgraded)"
card.liu_huo_plus.name,"火·流火+","Fire · Flowing Fire+"
card.liu_huo_plus.desc,"造成 5 点伤害。流转：下一张火牌 +3 伤害。（升级版）","Deal 5 damage. Flow: next Fire card gets +3 damage. (Upgraded)"
card.liu_yun_jian_plus.name,"流云剑+","Flowing Blade+"
card.liu_yun_jian_plus.desc,"造成 2 次 4 点伤害（共 8 点）。（升级版）","Deal 4 damage twice (8 total). (Upgraded)"
card.na_qi_plus.name,"纳气+","Absorb Qi+"
card.na_qi_plus.desc,"获得 2 层充能。（升级版）","Gain 2 Charge. (Upgraded)"
card.ning_qi_plus.name,"凝气+","Condense Qi+"
card.ning_qi_plus.desc,"获得 1 层充能。流转：下一张充能牌额外 +1 充能。（升级版）","Gain 1 Charge. Flow: next Charge card gains +1 extra Charge. (Upgraded)"
card.po_jia_plus.name,"破甲+","Armor Break+"
card.po_jia_plus.desc,"施加易伤 3 tick。（升级版）","Apply Vulnerable for 3 ticks. (Upgraded)"
card.po_kong_zhan_plus.name,"破空斩+","Skybreak Slash+"
card.po_kong_zhan_plus.desc,"消耗所有充能，造成 8+充能×2 点伤害。（升级版）","Consume all Charge. Deal 8 + Charge×2 damage. (Upgraded)"
card.po_zhen_plus.name,"破阵+","Formation Breaker+"
card.po_zhen_plus.desc,"造成 13 点伤害。若目标有迟滞，打断目标。（升级版）","Deal 13 damage. If target is Slowed, interrupt it. (Upgraded)"
card.qi_hai_plus.name,"气海+","Qi Sea+"
card.qi_hai_plus.desc,"获得 2 层充能。固有：后一张充能消耗牌 cost -1。（升级版）","Gain 2 Charge. Innate: next Charge-consume card costs 1 less. (Upgraded)"
card.qi_zhuan_plus.name,"气转+","Qi Transposition+"
card.qi_zhuan_plus.desc,"本周天结束前，下一张消耗充能的牌 cost 减半，且不消耗前 2 层充能。（升级版）","Until this cycle ends, halve next Charge-consume card cost and preserve 2 Charge. (Upgraded)"
card.qian_yin_plus.name,"牵引+","Lead-In+"
card.qian_yin_plus.desc,"本周天结束前，下一张特殊牌 cost -1。（升级版）","Until this cycle ends, the next Special card costs 1 less. (Upgraded)"
card.qian_zhan_plus.name,"千斩+","Thousand Cuts+"
card.qian_zhan_plus.desc,"消耗所有充能，造成 20+充能×3 点伤害（一次性）。（升级版）","Consume all Charge. Deal 20 + Charge×3 damage. (Consumable). (Upgraded)"
card.qie_mai_plus.name,"切脉+","Sever Meridian+"
card.qie_mai_plus.desc,"施加迟滞 2 tick。（升级版）","Apply Slow for 2 ticks. (Upgraded)"
card.qing_feng_zhan_plus.name,"清风斩+","Wind Slash+"
card.qing_feng_zhan_plus.desc,"造成 9 点伤害。（升级版）","Deal 9 damage. (Upgraded)"
card.yang_jian_shi_plus.name,"养剑势+","Blade Tempering+"
card.yang_jian_shi_plus.desc,"获得 2 层力量（一次性）。（升级版）","Gain 2 Strength. (Consumable). (Upgraded)"
card.qing_mang_plus.name,"青芒+","Verdant Gleam+"
card.qing_mang_plus.desc,"造成 5 点伤害。（升级版）","Deal 5 damage. (Upgraded)"
card.ran_jian_plus.name,"火·燃剑+","Fire · Burning Blade+"
card.ran_jian_plus.desc,"造成 9 点伤害。目标每有 1 层燃烧，额外 +1。（升级版）","Deal 9 damage. +1 per Burn stack on target. (Upgraded)"
card.ru_yan_plus.name,"如燕+","Swallow Step+"
card.ru_yan_plus.desc,"本周天结束前，下一张攻击牌 cost 减半。（升级版）","Until this cycle ends, halve the next Attack card's cost. (Upgraded)"
card.san_luo_jian_plus.name,"散落剑+","Scattered Blades+"
card.san_luo_jian_plus.desc,"造成 3 次 2 点伤害。（升级版）","Deal 2 damage three times. (Upgraded)"
card.shan_ji_plus.name,"闪击+","Flash Cut+"
card.shan_ji_plus.desc,"造成 4 点伤害。获得加速 1。（升级版）","Deal 4 damage. Gain Haste 1. (Upgraded)"
card.shi_ling_plus.name,"时令+","Timing Order+"
card.shi_ling_plus.desc,"固有：相邻牌 cost -1，最低 1。（升级版）","Innate: adjacent cards cost 1 less, min 1. (Upgraded)"
card.shi_xu_ling_plus.name,"时序令+","Temporal Edict+"
card.shi_xu_ling_plus.desc,"获得加速 2。本周天结束前，每打出 3 张牌，下一张牌 cost 减半。（升级版）","Gain Haste 2. Until this cycle ends, every 3 cards played halves the next card's cost. (Upgraded)"
card.shou_shi_plus.name,"收势+","Close Form+"
card.shou_shi_plus.desc,"获得 6 点护盾。若这是本周天最后一张牌，额外恢复 3 生命。（升级版）","Gain 6 Shield. If this is the last card this cycle, heal 3. (Upgraded)"
card.shou_zhong_dai_gong_plus.name,"守中带攻+","Guarded Strike+"
card.shou_zhong_dai_gong_plus.desc,"获得 6 点护盾，造成 4 点伤害。（升级版）","Gain 6 Shield and deal 4 damage. (Upgraded)"
card.shuang_xiang_plus.name,"双响+","Double Echo+"
card.shuang_xiang_plus.desc,"复制前一张非回响牌。（升级版）","Copy the previous non-Echo card. (Upgraded)"
card.shun_pu_plus.name,"顺劈+","Flowing Cleave+"
card.shun_pu_plus.desc,"造成 9 点伤害。流转：下一张攻击牌 +2 伤害。（升级版）","Deal 9 damage. Flow: next Attack gets +2 damage. (Upgraded)"
card.sui_xing_jian_plus.name,"碎星剑+","Starbreaker Blade+"
card.sui_xing_jian_plus.desc,"穿透打断目标，附加 18 点伤害。（升级版）","Pierce-interrupt target and deal 18 damage. (Upgraded)"
card.tai_xu_ju_qi_plus.name,"太虚聚气+","Void Qi Condensation+"
card.tai_xu_ju_qi_plus.desc,"获得 4 层充能。固有：相邻充能消耗牌 cost -1。（升级版）","Gain 4 Charge. Innate: adjacent Charge-consume cards cost 1 less. (Upgraded)"
card.tai_yi_lun_plus.name,"太一轮+","Grand Cycle+"
card.tai_yi_lun_plus.desc,"周天结束时，若本周天打出了 6 张以上牌，恢复 8 生命并获得加速 2。（升级版）","At cycle end, if 6+ cards were played, heal 8 and gain Haste 2. (Upgraded)"
card.tian_he_yi_jian_plus.name,"天河一剑+","Celestial River Slash+"
card.tian_he_yi_jian_plus.desc,"造成 28 点伤害。（升级版）","Deal 28 damage. (Upgraded)"
card.tian_luo_plus.name,"天罗+","Celestial Net+"
card.tian_luo_plus.desc,"施加迟滞 6 tick。目标本周天下一张牌 cost 额外 +1。（升级版）","Apply Slow 6 ticks. Target's next card this cycle costs +1 more. (Upgraded)"
card.wan_jian_gui_zong_plus.name,"万剑归宗+","Ten Thousand Blades+"
card.wan_jian_gui_zong_plus.desc,"造成 8 次 3 点伤害。（升级版）","Deal 3 damage eight times. (Upgraded)"
card.wu_bu_yi_sha_plus.name,"五步一杀+","Five-Step Kill+"
card.wu_bu_yi_sha_plus.desc,"造成 24 点伤害。若你有加速，此牌 cost 减半。（升级版）","Deal 24 damage. If you have Haste, this card's cost is halved. (Upgraded)"
card.wu_ying_jian_plus.name,"无影剑+","Shadowless Blade+"
card.wu_ying_jian_plus.desc,"造成 4 次 4 点伤害（共 16 点）。（升级版）","Deal 4 damage four times (16 total). (Upgraded)"
card.xiao_zhou_tian_plus.name,"小周天+","Minor Cycle+"
card.xiao_zhou_tian_plus.desc,"获得 1 层充能和加速 1。（升级版）","Gain 1 Charge and Haste 1. (Upgraded)"
card.xu_kong_jian_plus.name,"虚空剑+","Void Blade+"
card.xu_kong_jian_plus.desc,"打断目标当前卡的蓄力进度，附加 5 点伤害。（升级版）","Interrupt target's current card progress. Deal 5 bonus damage. (Upgraded)"
card.xu_shi_plus.name,"蓄势+","Buildup+"
card.xu_shi_plus.desc,"获得 2 层充能。（升级版）","Gain 2 Charge. (Upgraded)"
card.xuan_jia_plus.name,"玄甲+","Mystic Guard+"
card.xuan_jia_plus.desc,"获得 16 点护盾。（升级版）","Gain 16 Shield. (Upgraded)"
card.xuan_wu_fan_plus.name,"玄武反+","Black Tortoise Counter+"
card.xuan_wu_fan_plus.desc,"造成等同当前护盾的伤害，然后获得 8 点护盾。（升级版）","Deal damage equal to current Shield, then gain 8 Shield. (Upgraded)"
card.yan_jian_plus.name,"火·炎剑+","Fire · Flame Sword+"
card.yan_jian_plus.desc,"造成 8 点伤害，施加燃烧。（升级版）","Deal 8 damage and apply Burn. (Upgraded)"
card.yan_xi_plus.name,"火·炎息+","Fire · Flame Breath+"
card.yan_xi_plus.desc,"造成 6 点伤害，施加 2 层燃烧 3 tick。（升级版）","Deal 6 damage. Apply 2 Burn for 3 ticks. (Upgraded)"
card.ye_huo_lun_plus.name,"火·业火轮+","Fire · Karmic Fire Wheel+"
card.ye_huo_lun_plus.desc,"本周天每打出一张火牌，周天结束时对敌人造成 5 点伤害。（升级版）","Each Fire card played this cycle adds 5 end-cycle damage. (Upgraded)"
card.yi_pai_plus.name,"移拍+","Shift Beat+"
card.yi_pai_plus.desc,"流转：后续第 2 张牌 +3 伤害。（升级版）","Flow: the second later card gets +3 damage. (Upgraded)"
card.yi_qi_plus.name,"一气+","One Breath+"
card.yi_qi_plus.desc,"获得 1 层充能。若上一张是攻击牌，额外获得 1 层。（升级版）","Gain 1 Charge. If the previous card was an Attack, gain 1 more. (Upgraded)"
card.yin_qi_zhan_plus.name,"引气斩+","Qi-Draw Slash+"
card.yin_qi_zhan_plus.desc,"造成 6 点伤害，获得 1 层充能。（升级版）","Deal 6 damage and gain 1 Charge. (Upgraded)"
card.yin_ran_plus.name,"火·引燃+","Fire · Ignite+"
card.yin_ran_plus.desc,"若目标已有燃烧，使其燃烧持续 +2 tick。（升级版）","If target has Burn, extend it by 2 ticks. (Upgraded)"
card.yu_bu_plus.name,"御步+","Guard Step+"
card.yu_bu_plus.desc,"获得 5 点护盾。（升级版）","Gain 5 Shield. (Upgraded)"
card.yu_jian_dun_plus.name,"御剑盾+","Sword Guard+"
card.yu_jian_dun_plus.desc,"获得 6 点护盾。（升级版）","Gain 6 Shield. (Upgraded)"
card.yu_jian_fan_ji_plus.name,"御剑反击+","Guarded Riposte+"
card.yu_jian_fan_ji_plus.desc,"造成 7 点伤害；本周天每获得过 5 点护盾，额外 +2。（升级版）","Deal 7 damage; +2 for each 5 Shield gained this cycle. (Upgraded)"
card.yu_yin_plus.name,"余音+","Aftertone+"
card.yu_yin_plus.desc,"流转：下一张被复制的牌 +5 伤害。（升级版）","Flow: the next copied card gets +5 damage. (Upgraded)"
card.yun_ti_plus.name,"云体+","Cloud Form+"
card.yun_ti_plus.desc,"获得 12 点护盾。（升级版）","Gain 12 Shield. (Upgraded)"
card.zhan_nian_plus.name,"斩念+","Thought Sever+"
card.zhan_nian_plus.desc,"造成 12 点伤害。目标每有一种负面状态，额外 +8。（升级版）","Deal 12 damage. +8 per debuff on target. (Upgraded)"
card.zhen_jiao_plus.name,"镇脚+","Rooting Step+"
card.zhen_jiao_plus.desc,"施加迟滞 1 tick。（升级版）","Apply Slow for 1 tick. (Upgraded)"
card.zhen_mai_plus.name,"镇脉+","Meridian Lock+"
card.zhen_mai_plus.desc,"施加迟滞 3 tick。流转：下一张攻击牌对迟滞目标 +6 伤害。（升级版）","Apply Slow 3 ticks. Flow: next Attack deals +6 to Slowed targets. (Upgraded)"
card.zhuan_shou_plus.name,"转手+","Turnabout+"
card.zhuan_shou_plus.desc,"流转：下一张非攻击牌 cost -1。（升级版）","Flow: the next non-Attack card costs 1 less. (Upgraded)"
card.zhui_jian_plus.name,"追剑+","Pursuing Blade+"
card.zhui_jian_plus.desc,"若前一张是攻击牌，造成 7 点伤害，否则造成 4 点。（升级版）","If previous card is an Attack, deal 7 damage; otherwise 4. (Upgraded)"
